seed,condition,seq_length,noise_rate,seq_id,queried_key,target_value,predicted_value,correct,distractor_leakage_events,mutex_violation_ticks,mean_firing_density
4097,active_associative,64,0.00,1,14,1,1,1,0,0,0.029889
8193,active_associative,64,0.00,2,3,0,0,1,0,0,0.025590
12289,active_associative,64,0.00,3,2,0,0,1,0,0,0.033792
16385,active_associative,64,0.00,4,1,1,1,1,0,0,0.033396
20481,active_associative,64,0.00,5,13,0,0,1,0,0,0.031699
24577,active_associative,64,0.00,6,4,0,0,1,0,0,0.028701
28673,active_associative,64,0.00,7,12,1,1,1,0,0,0.027400
32769,active_associative,64,0.00,8,15,0,0,1,0,0,0.030341
36865,active_associative,64,0.00,9,14,0,0,1,0,0,0.025986
40961,active_associative,64,0.00,10,2,0,0,1,0,0,0.030115
45057,active_associative,64,0.00,11,12,1,1,1,0,0,0.026722
49153,active_associative,64,0.00,12,13,0,0,1,0,0,0.028305
53249,active_associative,64,0.00,13,9,0,0,1,0,0,0.033905
57345,active_associative,64,0.00,14,14,0,0,1,0,0,0.031077
61441,active_associative,64,0.00,15,8,0,0,1,0,0,0.027796
65537,active_associative,64,0.00,16,14,1,1,1,0,0,0.032660
69633,active_associative,64,0.00,17,10,0,0,1,0,0,0.035149
73729,active_associative,64,0.00,18,10,1,1,1,0,0,0.032265
77825,active_associative,64,0.00,19,0,0,0,1,0,0,0.028645
81921,active_associative,64,0.00,20,13,0,0,1,0,0,0.028588
86017,active_associative,64,0.00,21,6,1,1,1,0,0,0.027457
90113,active_associative,64,0.00,22,3,0,0,1,0,0,0.027344
94209,active_associative,64,0.00,23,7,1,1,1,0,0,0.030455
98305,active_associative,64,0.00,24,8,1,1,1,0,0,0.032943
102401,active_associative,64,0.00,25,7,0,0,1,0,0,0.036337
106497,active_associative,64,0.00,26,2,1,1,1,0,0,0.030455
110593,active_associative,64,0.00,27,9,1,1,1,0,0,0.030907
114689,active_associative,64,0.00,28,1,1,1,1,0,0,0.033056
118785,active_associative,64,0.00,29,9,0,0,1,0,0,0.026326
122881,active_associative,64,0.00,30,13,1,1,1,0,0,0.033056
126977,active_associative,64,0.00,31,14,1,1,1,0,0,0.033961
131073,active_associative,64,0.00,32,14,0,0,1,0,0,0.030002
